Source,Project Number,Revision,File Path,File Name,File Extension,File Size (bytes),Modification Date,Project Folder Name,Database Match,Project Name,RFP Number,RFP Issue Date,RFP Status,RFP Stage,Company,Contact,Package,Staff Name,Activity,RFP Created At,RFP Updated At,,,,,,,,,
DATABASE,22-96601,0,,,,,,,YES,Dammam Entertainment Development,22-96601-FP,220830,Lost,Lost,company:SLG,contacts:f0itcziq0buolzzdzkkf,"Lighting, Video, Sound, SFX, Show Control, IPTV, Mechanical Effects",Martin Robert,Technical Systems Design and Consultancy,2025-06-25T13:22:15.056Z,2025-06-25T13:22:15.056Z,,,,,,,,,
FILE,22-96601,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/22-96601 Dammam Waterpark/02 Proposal/e-22-96601-FP-01.pdf,e-22-96601-FP-01.pdf,pdf,209681,30/08/2022 7:10,22-96601 Dammam Waterpark,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,22-97111,0,,,,,,,YES,Palm Fountain,22-97111-FP,220729,Lost,Lost,company:NKLM,contacts:ynjbdn2v9lsb7hviz2cg,Audio,Andrew Hawkes,Audio System Design and Consultancy,2025-06-25T13:22:34.984Z,2025-06-25T13:22:34.984Z,,,,,,,,,
FILE,22-97111,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/22-97111 TPF Sound System/02 Proposal/e-22-97111-FP-01 - signed.pdf,e-22-97111-FP-01 - signed.pdf,pdf,166367,29/07/2022 14:55,22-97111 TPF Sound System,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
FILE,22-97112,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/22-97112 The View Exp Ctr/02 Proposal/e-22-97112-FP-01 - signed.pdf,e-22-97112-FP-01 - signed.pdf,pdf,157047,29/07/2022 14:55,22-97112 The View Exp Ctr,NO,,,,,,,,,,,,,,,,,,,,,
DATABASE,22-97113,0,,,,,,,YES,MAF FEC,22-97113-FP,230110,Awarded,Awarded,company:SLG,contacts:f0itcziq0buolzzdzkkf,"Lighting, Video, Sound, Acoustics, Technical",Martin Robert,Sensory Technologies Design and Consultancy,2025-06-25T13:22:34.984Z,2025-06-25T13:22:34.984Z,,,,,,,,,
FILE,22-97113,2,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/22-97113 MAF FEC/02 Proposal/22-97113-FP-02.pdf,22-97113-FP-02.pdf,pdf,111415,10/01/2023 14:48,22-97113 MAF FEC,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,22-97114,0,,,,,,,YES,House of Hype,22-97114-FP,221207,Lost,Lost,company:HYP,contacts:8b27zl95gco2z4f25o4e,"Specialist Lighting, Specialist Lighting Control Systems",Martin Robert,Specialist Lighting Design and Consultancy,2025-06-25T13:27:11.795Z,2025-06-25T13:27:11.795Z,,,,,,,,,
FILE,22-97114,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/22-97114 HoH/02 Proposal/e-22-97114-FP-01.pdf,e-22-97114-FP-01.pdf,pdf,187333,7/12/2022 16:50,22-97114 HoH,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,22-97115,0,,,,,,,YES,Kids Activity Park,22-97115-FP,221223,Lost,Lost,company:SAN,contacts:3ffcc3qc2sld8zifysvq,"Lighting, Video, Sound, SFX, Control Systems",Martin Robert,Sensory Design and Consultancy,2025-06-25T13:27:11.796Z,2025-06-25T13:27:11.796Z,,,,,,,,,
FILE,22-97115,2,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/22-97115 Kids Activity Park AUH/02 Proposal/e-22-97115-FP-02.pdf,e-22-97115-FP-02.pdf,pdf,138654,8/03/2023 5:52,22-97115 Kids Activity Park AUH,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,22-97199,0,,,,,,,YES,[No Project Match],22-97199-FP,240819,Active,Sent,company:EMT,contacts:hqpz6h9z1v5w6uj46tl2,Specialist Lighting,Martin Robert,Design and Consultancy,2025-06-25T13:27:11.796Z,2025-06-25T13:27:11.796Z,,,,,,,,,
FILE,22-97199,1,/mnt/e/emittiv/emittiv/01 Projects/22 RFP/22-97199 EMT/02 Proposal/22-97199-FP-01.pdf,22-97199-FP-01.pdf,pdf,101632,19/08/2024 14:27,22-97199 EMT,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,23-96601,0,,,,,,,YES,Dammam Adventure World,23-96601-FP,230324,Lost,Lost,company:KCC,contacts:t6s1857mu4frfmto1l7m,"Lighting, Sound, Associated Control Systems",Martin Robert,Specialist Lighting Design,2025-06-25T13:27:11.796Z,2025-06-25T13:27:11.796Z,,,,,,,,,
FILE,23-96601,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96601 Dammam Adv World/02 Proposal/e-23-96601-FP-01.pdf,e-23-96601-FP-01.pdf,pdf,138100,24/03/2023 7:17,23-96601 Dammam Adv World,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
